Food group in the questionnaire;Food item in the questionnaire;Food groups aggregated according to FAO
starchy roots, tubers and plantain;Cassava;White roots and tubers
starchy roots, tubers and plantain;Plantain;White roots and tubers
starchy roots, tubers and plantain;Cocoyam;White roots and tubers
starchy roots, tubers and plantain;Yam;White roots and tubers
starchy roots, tubers and plantain;Sweet Potato;White roots and tubers
starchy roots, tubers and plantain;Fufu;White roots and tubers
cereals and maize products;Banku;Cereals
cereals and maize products;Kenkey;Cereals
cereals and maize products;Millet;Cereals
cereals and maize products;Oats;Cereals
cereals and maize products;Cornflakes;Cereals
cereals and maize products;Rice;Cereals
cereals and maize products;Bread;Cereals
cereals and maize products;Noodles;Cereals
animal products;Fish;Fish and other seafood
animal products;Red Meat;Meat
animal products;Sausage;Meat
animal products;Pig Meat;Meat
animal products;Egg;Milk and milk products
animal products;Milk;Milk and milk products
animal products;Yoghurt;Milk and milk products
animal products;Cheese;Milk and milk products
animal products;Crab;Fish and other seafood
animal products;Snails;Meat
legumes, nuts and oilseeds;Beans;Legumes, nuts and seeds
legumes, nuts and oilseeds;Groundnuts;Legumes, nuts and seeds
legumes, nuts and oilseeds;Lentils;Legumes, nuts and seeds
legumes, nuts and oilseeds;Peas;Legumes, nuts and seeds
legumes, nuts and oilseeds;Nuts;Legumes, nuts and seeds
legumes, nuts and oilseeds;Seeds;Legumes, nuts and seeds
fruits;Orange;Fruits
fruits;Mango;Fruits
fruits;Pawpaw;Fruits
fruits;Pineapple;Fruits
fruits;Banana;Fruits
fruits;Avocado;Fruits
fruits;Apple;Fruits
fruits;Watermelon;Fruits
fruits;Grapes;Fruits
vegetables;Tomato;Vegetables
vegetables;Sweet Pepper;Vegetables
vegetables;Garden Egg;Vegetables
vegetables;Okro;Vegetables
vegetables;Dark Green Leaves;Vegetables
vegetables;Carrot;Vegetables
vegetables;Cucumber;Vegetables
vegetables;Lettuce;Vegetables
vegetables;Cabbage;Vegetables
vegetables;Cauliflower;Vegetables
vegetables;Onion;Vegetables
fats and oils;Palm Oil;Oils and fats
fats and oils;Vegetable Oil;Oils and fats
fats and oils;Olive Oil;Oils and fats
fats and oils;Margarine;Oils and fats
fats and oils;Shea Butter;Oils and fats
fats and oils;Groundnut Paste;Oils and fats
spices and condiments;Red Pepper;Spices, condiments and beverages
spices and condiments;Black Pepper;Spices, condiments and beverages
spices and condiments;Sugar;Sweets
spices and condiments;Ketchup;Spices, condiments and beverages
spices and condiments;Salad Cream;Spices, condiments and beverages
sweets and snacks;Chocolate;Sweets
sweets and snacks;Ice Cream;Sweets
